Conversation Incomplete,input,output
6723448bb7e2adf89bb6f48e,"Below is the conversation between the bot and user

user: Hi
bot: Hello! I am Aisha, a Health-Care Executive at Madhavbaug. Do you have any symptoms or health issues that you would like to discuss?

user: Hi i m diabetic and Hypertension patient
bot: When were you first diagnosed with diabetes and hypertension, and how have your symptoms changed over time?

user: In dec 2021
bot: Have you made any recent changes to your diet or exercise routine to manage your diabetes and hypertension?

user: I started walking after tht.. And everything was in control ..i m mother of 10months twins..
bot: Have you been experiencing any specific symptoms or issues related to your diabetes and hypertension since you started walking and taking care of your twins?

user: No issues but rather continuing with elopathy medicine would like to for therapies
bot: It's great to hear that you have been managing your diabetes and hypertension well by walking and taking care of your twins. If you are interested in therapies, we offer Ayurveda and massage therapies at Madhavbaug. Would you like to book an appointment for a therapy session?

user: I would like to go for massage therapies
bot: Current location, city name, or postal code is required to book an appointment, please provide your location details so I can assist you further

user: Andheri east mumbai 400069
bot: Oh great! We have found 22 expert doctors in your area. Could you please let us know your exact location in Andheri east mumbai 400069?

user: Mahakali darshan gundavali hill
bot: Clinic list Sent

user: Chhaya Bind
bot: Clinic list Sent

user: 10:00
bot: ? Your appointment has been successfully booked!

*Appointment Details:*

*Clinic Name:*
Mumbai (andheri - East)--FR

*Date & Time:*
02-Nov-2024 10:00

*Clinic Address:*
A-203, Above Girnar Tea, Vertex Vikas Building, Opposite Andheri East Railway Station, Andheri East, Mumbai- 400053., Mumbai, MAHARASHTRA - 400069

Thank you for booking appointment with us!

We shall call you shortly to confirm your appointment.


bot: Most people come to the Doctor with their spouse, husband or any family member. This can make it easier to understand the treatment and its importance. So are you planning to bring someone along?.


user: Husband
bot: At Madhavbaug clinic your case will be studied in detail, so that we can identify your root cause of the disease.Our goal is to provide you with a personalized treatment plan that aims to achieve the best results in the shortest time and at the most affordable cost. Your well-being is our priority, and we're committed to helping you on your path to recovery.

","Appointment Booking, Lab Test Results Inquiry, Symptom Consultation, Doctor Enquiry, Cost Enquiry"
672332417b540176465bfda0,"Below is the conversation between the bot and user

user: Ji
bot: Hi, I am Vaidushi and how can I help you today regarding your interest to buy Madhavprash?


",To Buy the Product
672324c37b540176465bfa67,"Below is the conversation between the bot and user

user: Hii
bot: Hi, I am Vaidushi and how can I help you today regarding your interest to buy Madhavprash?


",To Buy the Product
672322da7b540176465bfa62,"Below is the conversation between the bot and user

user: https://play.google.com/store/apps/details?id=com.instagram.android
bot: Hi, I am Vaidushi and how can I help you today regarding your interest to buy Madhavprash?

",To Buy the Product
67231bf9e22ddedbf4c8b9c9,"Below is the conversation between the bot and user

user: Happy Diwali you and your family.
bot: Happy Diwali to you and your family as well! Do you have any health concerns or symptoms that you would like to discuss?

",Symptom Consultation
67231806e22ddedbf4c8b8f0,"Below is the conversation between the bot and user

user: Uttar pardesh me' hai kya
bot: ??? ?? ????? ?? ??? ??????? ???? ????, ???? ?? ????? ???? ??????? ??? ?? ??? ??? ???? ????

user: Ballia
bot: No clinics found in the given location, could you please provide your current city name ?

user: Uttar Pradesh ballia 277303 pin code
bot: ???? ???? ??? ????? ?? ????????? ?????? ???

user: Sugar sugar cholesterol
bot: Have you been monitoring your sugar intake since being diagnosed with high cholesterol?

user: Ha
bot: It seems like you are interested in booking an appointment. Would you like to book an appointment with Madhavbaug?

user: Paisa Kitana me ho jayega
user: Reply
bot: It seems that your message does not include information about your location. Could you please provide your current city name or postal code? This will help me assist you better in booking an appointment.

user: Hindi me likho
bot: It seems that your message does not include information about your location. Could you please provide your current city name or postal code? This will help me assist you better in booking an appointment.

user: Aap se bat Krna hai
bot: It seems that your message does not include information about your location. Could you please provide your current city name or postal code? This will help me assist you better in booking an appointment.

",Appointment Booking
67230a6d84a0423c91722cb0,"Below is the conversation between the bot and user

user: Hi
bot: Hello! I am Aisha, a Health-Care Executive at Madhavbaug. Do you have any symptoms or health issues that you would like to discuss?

user: Please share your package
bot: For information about our packages, including the Swasthya Parivaar Community Annual Program, please contact our Madhavbaug support team at +91 7400468145. Our team is available from Monday to Saturday, 10 AM to 7 PM, and will be happy to assist you with details about our offerings. Alternatively, you can also email us at info@madhavbaug.org for further assistance.

user: My mother has blockage
bot: It's important to understand the symptoms and when they first appeared to provide the best advice for blockage. Can you describe the symptoms your mother is experiencing with the blockage, and when did they first appear?

","Symptom Consultation, Health Check-Up Packages"
67230664d047247715f2b548,"Below is the conversation between the bot and user

user: Hai
bot: Hi, I am Vaidushi and how can I help you today regarding your interest to buy Madhavprash?


",To Buy the Product
672303892c34b3cf5b81a383,"Below is the conversation between the bot and user

user: Hi, I am looking for an appointment with Dr Rahul Patil, United Bangalore Jayanagar.
bot: Hello, Thank you for reaching out to book an appointment. Simply click on the link below to access our appointment booking system

https://unitedhospitals.com/book-an-appointment

bot: An appointment creation link has been sent. Kindly use the link to make an appointment with Dr. Rahul Patil at United Hospital, Bangalore Jayanagar. If you need further assistance, feel free to ask!

user: The phone no is not working.
bot: Sorry, I'm unable to help you at this moment. Please contact our PRM executive at +917022316664 or +918045666666.


","Appointment Booking, Hospital Services Enquiry"
672300e74c8e523177773e5b,"Below is the conversation between the bot and user

user: J
user: He
bot: Hi, I am Vaidushi and how can I help you today regarding your interest to buy Madhavprash?


bot: Hello! How can I assist you with Madhavprash today?


",To Buy the Product
6722fa600da6c63a4e1ff42f,"Below is the conversation between the bot and user

user: Gd mrng Team
Please cancel Mrs Madhu Prakash opd appointment for today along with any other opd appartment (if given ).
bot: Sorry, I'm unable to help you with appointment cancellations at this moment. Please contact our PRM executive at +917022316664 or +918045666666 for assistance.


user: Is it a bot answering?
bot: Namaskar, I am Ayushi, your Virtual Assistant from United Hospital. How can I assist you today?


","Appointment Booking, Hospital Services Enquiry, Cancel/Refund Product"
6722f46d2c34b3cf5b81a380,"Below is the conversation between the bot and user

user: Hello
bot: Hi, I am Vaidushi and how can I help you today regarding your interest to buy Madhavprash?


user: Buy madhav prash
bot: ????????? ?????? ?? ??? ???? ???? ?? https://madhavprash.store


user: Complete ????
bot: Thank you for confirming! If you have any more questions or need further assistance, feel free to ask. Have a great day!


",To Buy the Product
6722e8b384a0423c91722ca2,"Below is the conversation between the bot and user

user: !! *Diwali Special* !!

Indian Sweets carry Positive Psychology Messages. It's all about Perspective...

1. Jalebi : Shape doesn't matter, nature does. No matter how messed up life is, keeping a sweet tone will always help. 

2. Rosogolla : No matter how much you are squeezed, only sweetness comes out! return to your original self when pressure diminishes! Be Resilient even when squeezed !

3. Boondi Laddu : Every little drop matters. You may be small but jointly you can bring in Miraculous Results. Many a mickle makes a mickle.

4. Soan papdi : Not everyone likes you, but you are packed with layers and layers of sweetness. Pursue your goals, irrespective of validation. 

5. Gulab jamun : Your Softness and colour is not your Weakness, it can be your strength. It is a quality much Appreciated, be Proud of it. 

6. Besan Laddu : If you get shattered due to pressure, you can always Rebuild. It's a symbol of HOPE. No Matter what goes Wrong, it can always be fixed. 

7. Kaju Katli: Always carry a silver lining! A diamond among others!

So enjoy your Diwali and your sweets with positive thoughts and energy, no matter who says what.



?????? ??
bot: Happy Diwali! If you have any health-related questions or concerns, feel free to ask.

",Lab Test Results Inquiry
6722df8784a0423c91722c9c,"Below is the conversation between the bot and user

user: Hi I am Arvind Kumar from chhattisgarh
bot: Hi, I am Vaidushi and how can I help you today regarding your interest to buy Madhavprash?


user: ???? ????? ?? ????? ???????? ?? ?????? ?? 100% ????? ?? ???? ?? ????? ?? ???? ???? ?? ??? ???? ?? ???? ???? ?? ?? ??? ?? ?? ?? ??? ???????? ?? ?????? ?? ?????? ?? ?????? ?? ?? ????? ?? ??? ?? ?? ?? ???? ?? ?????? ?? ???? ??? ?? ???? ?? ???? ?? ????? ?? ???????? ?? ??? ?? ???? ??
bot: ????????? ???? ?????? ?? ??????????? ?? ???? ?? ?? ???? ??? ??? ???? ???? ????????? ??? ?????? ?? ???? ??, ????? ???? ??? ?? ????? ?? ?? ???? ??? ?? ???? ?? ??????? ?? ?????? ???? ?????? ?? ??????? ???? ???? ?? ???? ???? ??? ?? ?????? ???? ??? ???????, ??? ????? ??? ?? ??????? ??????? ?? ????? ?? ??? ??? ?????? ???? ???? ??? ??? ??????? ???? ????????? ?? ??????? ??????? ?? ??? ????????? ???? ?????? ?? ??????? ???? ?????????? ??? ???? ?? ???? ????????? ???? ?????? ?? ??? ?????????? ??? ???? ????????


user: Ok
bot: Hello, Thank you for your interest. You can reach us at +918433985879. Alternatively you can visit our online store here

https://cep.prodoc.ai/appointment/666d81d0a8596bfe7e8a6178/9009129671/Jesus_For_You_Society

bot: I've sent you the link to book an appointment. Kindly use it to schedule a meeting with a healthcare professional. If you have any more questions or need further assistance, feel free to ask!

","Appointment Booking, To Buy the Product"
6722d50ce22ddedbf4c8b8d1,"Below is the conversation between the bot and user

user: Hi
bot: Hi, I am Vaidushi and how can I help you today regarding your interest to buy Madhavprash?


",To Buy the Product
6722ba074aec80c52d2df872,"Below is the conversation between the bot and user

user: ??
bot: Hi, I am Vaidushi and how can I help you today regarding your interest to buy Madhavprash?


",To Buy the Product
6722920d2c34b3cf5b81a376,"Below is the conversation between the bot and user

user: Hi
bot: Hi, I am Vaidushi and how can I help you today regarding your interest to buy Madhavprash?


",To Buy the Product
67228dbdb7e2adf89bb6ecf6,"Below is the conversation between the bot and user

user: Hi
bot: Hi, I am Vaidushi and how can I help you today regarding your interest to buy Madhavprash?


",To Buy the Product
67228d0a8f307ba6a2605895,"Below is the conversation between the bot and user

user: Hi
bot: Hi, I am Vaidushi and how can I help you today regarding your interest to buy Madhavprash?


user: Would u give details of product
bot: Madhavprash is available in bottles, each containing 280 grams. The price for one bottle is Rs. 525/- (including GST). There are discounts available for bulk purchases: buying 2 units gives you a 5% discount, costing Rs. 998/-, and buying 4 units gives you a 10% discount, costing Rs. 1890/-. The recommended dosage for an adult is 10 grams per day, which is equivalent to one spoon per day.

","To Buy the Product, Product Enquiry, Cost Enquiry"
67228805e22ddedbf4c8b8cd,"Below is the conversation between the bot and user

user: Hello
bot: Hi, I am Vaidushi and how can I help you today regarding your interest to buy Madhavprash?


",To Buy the Product
672277e84aec80c52d2df86e,"Below is the conversation between the bot and user

user: Hi
bot: Hi, I am Vaidushi and how can I help you today regarding your interest to buy Madhavprash?


",To Buy the Product
67226adeb7e2adf89bb6ecf1,"Below is the conversation between the bot and user

user: Price of madhavprash
bot: I'm sorry, but I don't have the specific price information for Madhavprash. For pricing details, please contact our support team during working hours.

user: I am having sinusitis can I take madhav prash
bot: ???? ????? ?????????? ?? ??? ???????? ?? ???? ??, ????? ??? ?? ??? ????? ???? ???? ?? ???? ????????? ???? ??????? ?? ??????? ???? ?????????? ???

",Cost Enquiry
6722602d2c34b3cf5b81a372,"Below is the conversation between the bot and user

user: Cost of Weight loss treatment at madhavbaug
bot: At Madhavbaug, the cost of weight loss treatment can vary based on the specific treatment plan and the number of sittings required, which typically ranges from 10-12 sittings. For detailed information on pricing and any available discounts for patients enrolled in a treatment plan, we recommend contacting your nearest Madhavbaug center directly. You can find the contact details using our Clinic & Hospital Locator here: https://madhavbaug.org/clinic-hospital-locator/. Our expert doctors will work with you to create a personalized treatment plan that suits your needs and budget.

user: We had taken treatment @ madhavbagh Ambarnath but no result.
bot: I'm sorry to hear that you didn't see any results after your treatment at Madhavbaug Ambarnath. Can you provide more details about the specific treatment you received and the symptoms or health issues you were hoping to address? This information will help me better understand your situation and provide appropriate guidance.

user: It was home treatment an as per schedule we took the package but no specific result as the patient is over 100kg
An staying alone...with maid.
So whatever treatment given was not followed by the patient as she was alone...an due to excess weight she had trouble to go to the clinic fr her weekly sittings.
We need her to be treated at madhavbagh khopoli so that she is under observation an taking all the necessary treatment s on schedule time.
bot: Here is a list of 3 nearest clinics to your location

Clinic Name: Karjat Clinic ( Madhavbaug )
Address: Neminath shoping complex shop number 3,4 mudre budruk karjat

Clinic Name: Navi Mumbai (new Panvel)
Address: Grd Flr ,plot No 12 , Road No. 16. Opp. Miraj Cineraj Theatre ,Near CIDCO Garden , Sector 11 , New panvel East , Nai Mumbai - 410206

Clinic Name: Navi Mumbai (panvel)
Address: Yashodeep Apartment, Ground floor,

Do you like to book an appointment in one of the clinics mentioned above?

user: No need her to be admitted at khopoli centre
bot: Current location, city name, or postal code is required to book an appointment, please provide your location details so I can assist you further

user: Can u provide details of khopoli
bot: Oh great! We have found 18 expert doctors in your area. Could you please let us know your exact location in Can u provide details of khopoli?

user: Ambarnath 421501
bot: Clinic list Sent

user: Main centre of khopoli details pls
bot: Here is a list of 3 nearest clinics to your location

Clinic Name: Karjat Clinic ( Madhavbaug )
Address: Neminath shoping complex shop number 3,4 mudre budruk karjat

Clinic Name: Navi Mumbai (new Panvel)
Address: Grd Flr ,plot No 12 , Road No. 16. Opp. Miraj Cineraj Theatre ,Near CIDCO Garden , Sector 11 , New panvel East , Nai Mumbai - 410206

Clinic Name: Navi Mumbai (panvel)
Address: Yashodeep Apartment, Ground floor,

Do you like to book an appointment in one of the clinics mentioned above?

user: Do u have any details of khopoli madhav bagh pls
","Appointment Booking, Lab Test Results Inquiry, Symptom Consultation, Hospital Services Enquiry, Health Check-Up Packages, Doctor Enquiry, Cost Enquiry"
67225e657b540176465bf8c3,"Below is the conversation between the bot and user

user: Hi
bot: Hello! I am Aisha, a Health-Care Executive at Madhavbaug. Do you have any symptoms or health issues that you would like to discuss?

user: Shugar problem
bot: ???? ?? ?????? ??? ?? ???? ???? ?????? ?? ???? ?? ??????? ???? ???, ?? ??? ???, ?? ??? ?? ??? ?? ?????? ?? ????? ???? ??? ???

",Symptom Consultation
67225bfd0da6c63a4e1ff41b,"Below is the conversation between the bot and user

user: Hi
bot: Hello! I am Aisha, a Health-Care Executive at Madhavbaug. Do you have any symptoms or health issues that you would like to discuss?

user: Yes
bot: What symptoms or health issues are you experiencing?


user: My father has
bot: It seems there was a mistake in specifying the health issue. Could you please provide more details or clarify what specific health issue your father is experiencing?

user: He has had open heart surgery.
But currently he is facing weakness and gas issues due to medicines.
bot: It's important to monitor the duration and worsening of the weakness and gas issues. Have you noticed any specific triggers for these symptoms or any changes in your medication that could be causing these issues?

user: Have stopped ozovas
bot: It's important to monitor the duration and worsening of the weakness and gas issues. Have you noticed any specific triggers for these symptoms or any changes in your medication that could be causing these issues?

user: Its usually after meals. Have stopped a medicine called ozovas.
bot: It seems like the weakness and gas issues your father is experiencing after meals could be related to the medication change. It's important to consult with our experts at Madhavbaug for a personalized assessment and treatment plan. Would you like to book an appointment for your father to address these issues?

user: Yes
bot: Current location, city name, or postal code is required to book an appointment, please provide your location details so I can assist you further

user: Current location : bangalore HSR layout
bot: Oh great! We have found 12 expert doctors in your area. Could you please let us know your exact location in Current location : bangalore HSR layout?

user: Yes its Peepal tree apartments Somasundarpalaya HSR layout pin: 560102
bot: Clinic list Sent

user: Prajna Shiva
bot: I am not able to find an opt slot for you, Please contact customer care @ 0422 4893 3666 to discuss and find the best available slot for you.

","Appointment Booking, Surgery Enquiry, Symptom Consultation, Doctor Enquiry"
672259cc84a0423c91722c8e,"Below is the conversation between the bot and user

user: Madav parish ka price
bot: ??????? ??? ??????? ????? ?? ???? ???? ??????? ????????? ???????? ?? ???? ?? ???-??? ???? ??? ???? ??????? ??????? ?? ??? ???? ?????? ??????? ?????? ?? ?????????? ??? ???? ???? ????? ???

",Cost Enquiry
672255cd4c8e523177773e4b,"Below is the conversation between the bot and user

user: Mediclaim accepted
bot: That's great to hear! Madhavbaug accepts mediclaim. Do you have any specific health concerns or symptoms that you would like to discuss?

user: My allergy level is high
bot: What specific symptoms are you experiencing that indicate your allergy level is high?

user: I have test report
bot: What specific tests were conducted, and what were the results in your test report?

user: Body itching
bot: For body itching, you can try applying neem oil, using baking soda mixed in water, or drinking water with sabja seeds. If you would like to book an appointment for a consultation with our doctors, please let me know.

user: My hand and legs always swelling
bot: Current location, city name, or postal code is required to book an appointment, please provide your location details so I can assist you further

user: Mediclaim is accepted
bot: It seems that your message does not include information about your location. Could you please provide your current city name or postal code? This will help me assist you better in booking an appointment.

user: 410210 kharghar
bot: Oh great! We have found 18 expert doctors in your area. Could you please let us know your exact location in 410210 kharghar?

user: Navi Mumbai
bot: Oh great! We have found 18 expert doctors in your area. Could you please let us know your exact location in Navi Mumbai?

user: Say
bot: It seems that your message does not include information about your location. Could you please provide your current city name or postal code? This will help me assist you better in booking an appointment.

user: Kharghar Navi Mumbai 

410210 

Sec 12
bot: Clinic list Sent

user: How can I resolve which doctor is best for me
bot: To find the best doctor for you at Madhavbaug, you can use the Madhavbaug Clinic & Hospital Locator available here: https://madhavbaug.org/clinic-hospital-locator/. This tool will help you locate the nearest clinic and connect with expert doctors who specialize in Ayurvedic treatments and integrate modern insights for managing lifestyle diseases. Additionally, you can book an appointment directly with the clinic to ensure you receive personalized care tailored to your health needs.

user: DR DHARMADHIKARI
bot: I am not able to find an opt slot for you, Please contact customer care @ 0422 4893 3666 to discuss and find the best available slot for you.

user: I asked 3 time
bot: It seems like you have been trying to book an appointment with Dr. Dharmadhikari at Madhavbaug but have not been able to find an available slot. I recommend contacting customer care at 0422 4893 3666 to discuss and find the best available slot for you. If you need any further assistance or have any other health-related questions, feel free to ask.

user: Mediclaim accept
bot: Current location, city name, or postal code is required to book an appointment, please provide your location details so I can assist you further

","Appointment Booking, Lab Test Results Inquiry, Symptom Consultation, Hospital Services Enquiry, Doctor Enquiry"
67224aba2c34b3cf5b81a36d,"Below is the conversation between the bot and user

user: Hi
bot: Hello! How can I assist you today? Do you have any symptoms or health issues?

user: Please give mi your contact details for call
bot: You can reach us for a call back at +917304501163. Let me know if you have any health-related questions or concerns.

",Symptom Consultation
6722425fd047247715f2b52d,"Below is the conversation between the bot and user

user: Hi
bot: Hello! How can I assist you today? Do you have any symptoms or health issues?

user: Do you provide knee treatment
bot: Yes, we provide treatment for knee issues through our ""Vataher chikitsa"" therapy. I recommend visiting our nearest clinic for a consultation with our doctors.

","Symptom Consultation, Doctor Enquiry"
67223e978f307ba6a2605888,"Below is the conversation between the bot and user

user: Hi
bot: Hello! I am Aisha, a Health-Care Executive at Madhavbaug. Do you have any symptoms or health issues that you would like to discuss?

user: Diabetes
bot: When were you diagnosed with diabetes, and what type do you have (Type 1 or Type 2)?

user: Type 2. 6 months
bot: What specific symptoms related to your Type 2 diabetes have you been experiencing over the past six months?

user: Weight loss
bot: Have you noticed any other symptoms along with weight loss, such as fatigue or changes in appetite?

user: No
bot: Thank you for providing the information. If you have any more health-related questions or need assistance, feel free to ask.

user: Nothing
bot: It seems like you have been experiencing weight loss as a symptom of Type 2 diabetes. If you have any more questions or need assistance, feel free to ask.

",Symptom Consultation
672231e884a0423c91722c88,"Below is the conversation between the bot and user

user: In Ahmednagar centre location and number for appointment
bot: Here is a list of 3 nearest clinics to your location

Clinic Name: Ahmednagar Savedi Road
Address: Marc construction building ,opposite to hotel Mahendra pedhawala ,Premdan Chowk, Ahmednagar

Clinic Name: Sonai MINI CLINIC
Address: 1ST FLOOR, DHALE COMPLEX, SONAI GODEGAON ROAD, SONAI, TAL-NEWASA, DIST -AHMEDNAGAR

Clinic Name: Rahuri MINI Clinic Ahmednagar
Address: Dr.gavhane Dental & Ayurvedic Panchakarma Center ,Karpe Estate,Rahuri Tal:- Rahuri Dist:- Ahmednagar- 413705.

Do you like to book an appointment in one of the clinics mentioned above?

user: How to book appointment
bot: Current location, city name, or postal code is required to book an appointment, please provide your location details so I can assist you further

user: Ahmednagar
bot: Clinic list Sent

user: City
bot: Could you please let me know if you are experiencing any symptoms or health issues?

user: Priviously show symptoms
bot: Can you describe the specific symptoms you experienced previously and when they occurred?

user: Shravani Kumthekar
bot: I am not able to find an opt slot for you, Please contact customer care @ 0422 4893 3666 to discuss and find the best available slot for you.

user: Twomarow open
bot: I'm sorry, I am only able to assist with health-care, Ayurveda, and massage related questions. If you have any health concerns or need assistance with booking an appointment, please let me know.

user: Time
bot: I'm sorry, I can only assist with health-care, Ayurveda, and massage related questions. If you have any health concerns or need assistance with booking an appointment, please let me know.

","Appointment Booking, Symptom Consultation"
67222f58e22ddedbf4c8b8be,"Below is the conversation between the bot and user

user: Hi
bot: Hello! How can I assist you today? Do you have any symptoms or health issues?

user: I have slipped disc problem..... I am 52 yrs.... Wt 58 kg.... My lower back pains continuously.... Difficult to carry out day to day work....
bot: Have you recently engaged in any activities or movements that you think may have contributed to the slipped disc or back pain?

user: I am working in pvt office.... Desk work, apox 8 to 10 kn daily driving 4 wheeler and routine activities....
bot: Have you noticed any changes in your symptoms related to your slipped disc over time?

user: I am unable to make any conclusion.... It happened in June 2022...then it was bit ok but lately increases.... Currently I am taking physiotherapy and controling it.
bot: When did you first notice symptoms related to your slipped disc, and what activities were you doing at that time?

user: 2022....nothing much... But my physical activities at home were more due multiple tasks..
bot: Madhavbaug offers treatments that can help with conditions like slipped disc and lower back pain. Our approach includes Ayurvedic therapies such as ""Vataher chikitsa,"" which provides relief and healing from deep within. This therapy involves a locally done Snehan (oil massage) to alleviate pain and improve mobility. Additionally, we recommend lifestyle modifications such as sleeping on a flat surface, avoiding lifting heavy weights, and not bending forward. Specific exercises like Salabhasana and Bhujangasana can also be beneficial. For a personalized treatment plan, we suggest visiting our nearest clinic for an assessment by our doctors.

user: Pls send contact details... I reside in New Panvel.
bot: Here is a list of 3 nearest clinics to your location

Clinic Name: Navi Mumbai (new Panvel)
Address: Grd Flr ,plot No 12 , Road No. 16. Opp. Miraj Cineraj Theatre ,Near CIDCO Garden , Sector 11 , New panvel East , Nai Mumbai - 410206

Clinic Name: Khanda Colony panvel-FR
Address: 1st Floor, Madhumalati Building, Plot No.32, Sector - 8, Above Muscle's Line Gym, Near ICICI Bank ATM, Khanda Colony, New Panvel 410206.

Clinic Name: Navi Mumbai (panvel)
Address: Yashodeep Apartment, Ground floor,

Do you like to book an appointment in one of the clinics mentioned above?

","Appointment Booking, Symptom Consultation, Doctor Enquiry"
67222a68d047247715f2b521,"Below is the conversation between the bot and user

user: Hi
bot: Hi, I am Vaidushi and how can I help you today regarding your interest to buy Madhavprash?


",To Buy the Product
672212fe4c8e523177773e1b,"Below is the conversation between the bot and user

user: Hi
bot: Hello! How can I assist you today with Prodoc AI? If you have any questions about our products or services, feel free to ask.


user: This is Raju can you please tell me what is my next month roster (from tomorrow)
bot: I'm sorry, but I don't have access to personal or specific scheduling information like rosters. For such queries, please contact your HR department or the relevant team in your organization. If you have any questions about Prodoc AI's products or services, feel free to ask!


",Product Enquiry
6722110a8f307ba6a2605861,"Below is the conversation between the bot and user

user: Hii
bot: Hello! I am Aisha, a Health-Care Executive at Madhavbaug. Do you have any symptoms or health issues that you would like to discuss?

user: Panchkarma therapy charges and duration
bot: At Madhavbaug, the cost of Panchakarma therapy can vary depending on your specific health issues. The duration of a therapy session is approximately 45 to 60 minutes, including therapies like Snehan (therapeutic massage) and Swedan (herbal steam therapy). There is also an initial consultation with the doctor and a health assessment before starting the therapy. If you have any specific health concerns or symptoms, feel free to share them for further assistance.

user: No, I just want to do it once in a year
bot: It's great that you are considering Panchakarma therapy once a year for overall well-being. If you have any specific health concerns or symptoms in the future, feel free to reach out for assistance.

user: Should I know the charges
bot: At Madhavbaug, the cost of Panchakarma therapy is determined based on your specific health issues. Our doctor will assess your condition and provide guidance on the cost accordingly. Typically, a single Panchakarma session can range from INR 1500 to INR 4500, depending on the health problems being addressed. For more detailed information, we recommend booking a consultation at your nearest Madhavbaug center.

user: Is it in Thane West
bot: Here is a list of 3 nearest clinics to your location

Clinic Name: Kasarwadvali Thane
Address: 414(,4th floor), Cosmos Jewells Solitaire Tower..Kasarwadvali .Thane

Clinic Name: Thane (ghodbander)
Address: Office No: 401,4th floor, Arcadia Co-operative premises soc Ltd. Hiranandni estate,patlipada Thane ( w) .400607

Clinic Name: Thane (vasant Vihar)
Address: Plot no 9/11 Swami Vivekanad Nagar , near Blossom nursery school

Do you like to book an appointment in one of the clinics mentioned above?

user: Vasant vihar
","Appointment Booking, Symptom Consultation, Doctor Enquiry, Cost Enquiry"
672208e2b7e2adf89bb6eba3,"Below is the conversation between the bot and user

user: https://www.facebook.com/reel/1195703971502124?mibextid=rS40aB7S9Ucbxw6v
bot: Hello, I am Aisha, a Health-Care Executive of Madhavbaug. Do you have any symptoms or health issues?

user: *""???????? ? ????????? ?? ???? ??????? ?? ???? ??????? ???? ???? ???????????? ??, ????, ??, ??????? ?? ??? ??????? ?? ??? ?????????? ???? ??? ????????? ????????? ? ?????????? ??? ?????? ????, ?????? ?????????? ?? ????""* 

*??ll ??? ??????? ll*???? 

????????????????????
bot: ???? ?????? ?? ?????????? ?? ??? ???????! ???? ?? ???? ?????? ?? ?? ?????? ?? ??????? ??????????! ???????????????????????????????????????????????????????????????????????????????????? ???????????????????????????????????????????????? ???????????????????????? ???????????????????????????????????????????????? ???????????????????????? ???????????????????????????????????????????????? ???????????????????????? ???????????????????????????????????????????????? ???????????????????????? ???????????????????????????????????????????????? ???????????????????????? ???????????????????????????????????????????????? ???????????????????????? ???????????????????????????????????????????????? ?????????????????????????? ?????????????????????????????????????????????? ???????????????????????? ?????????????????????????????????????????????? ???????????????????????? ?????????????????????????????????????????????? ???????????????????????? ?????????????????????????????????????????????? ?????????????????????????? ???????????????????????????????????????????????? ???????????????????????? ???????????????????????????????????????????????? ???????????????????????? ???????????????????????????????????????????????? ???????????????????????? ???????????????????????????????????????????????? ?????????????????????????? ?????????????????????????????????????????????? ???????????????????????? ?????????????????????????????????????????????? ???????????????????????? ?????????????????????????????????????????????? ???????????????????????? ?????????????????????????????????????????????? ?????????????????????????? ???????????????????????????????????????????????? ???????????????????????? ???????????????????????????????????????????????? ???????????????????????? ???????????????????????????????????????????????? ???????????????????????? ???????????????????????????????????????????????? ?????????????????????????? ?????????????????????????????????????????????? ???????????????????????? ?????????????????????????????????????????????? ???????????????????????? ?????????????????????????????????????????????? ???????????????????????? ?????????????????????????????????????????????? ?????????????????????????? ???????????????????????????????????????????????? ???????????????????????? ???????????????????????????????????????????????? ???????????????????????? ???????????????????????????????????????????????? ???????????????????????? ???????????????????????????????????????????????? ??????????????????????????

user: Ara. NhinnNi7
bot: It seems like your message may have been garbled or mistyped. If you have any symptoms or health issues you'd like to discuss, please let me know.

",Symptom Consultation
672208df8f307ba6a2605744,"Below is the conversation between the bot and user

user: Can I get treatment for simple clear ovarian cyst of 8.9cm
bot: Have you had any previous imaging or medical evaluations regarding the cyst, and if so, what were the findings?

user: Last year it was 11cm now reduced to 8.9by ayurvedic treatment and allopathic medicine
bot: When did you first notice symptoms related to the ovarian cyst, and have they changed over time?

user: Yes last year I came to know and took ayurvedic medicine but still only reduced to few cm
bot: I recommend visiting the nearest Madhavbaug clinic for a consultation with our doctors. They can provide guidance and potential treatment options for your ovarian cyst. Would you like to book an appointment for further evaluation and treatment?

user: I will visit the doctor but only I wanted to know can I get treatment for cyst
bot: Current location, city name, or postal code is required to book an appointment, please provide your location details so I can assist you further

user: I will discuss at home and will take appointment
bot: It seems that your message does not include information about your location. Could you please provide your current city name or postal code? This will help me assist you better in booking an appointment.

user: Not now
bot: It seems that your message does not include information about your location. Could you please provide your current city name or postal code? This will help me assist you better in booking an appointment.

","Appointment Booking, Symptom Consultation, Doctor Enquiry"
672207fa2c34b3cf5b81a219,"Below is the conversation between the bot and user

user: Hi
bot: Hello! I am Aisha, a Health-Care Executive at Madhavbaug. Do you have any symptoms or health issues that you would like to discuss?

user: I want to discuss weight loss treatment
bot: What prompted you to seek weight loss treatment, and what specific goals do you have in mind?

",Symptom Consultation
